m_mistrust;agent_0;agent_1;agent_2;agent_3;agent_4;agent_5;agent_6;agent_7;agent_8;agent_9;agent_10;agent_11;agent_12;agent_13;agent_14;agent_15;agent_16;agent_17;agent_18;agent_19
0.0;[0.0, 0.9999999999995645];[0.0, 0.9999999999954722];[0.0, 0.9999999999997733];[0.0, 0.9999999999996355];[0.0, 0.9999999999982355];[0.0, 0.9999999999998653];[0.0, 0.9999999999999963];[0.0, 0.9999999999997422];[0.0, 0.9999999999948721];[0.0, 0.999999997942988];[1.0, 0.9999999999992482];[1.0, 0.9999999999950125];[1.0, 0.9999999999981226];[1.0, 0.9999999999973079];[1.0, 0.9999999999937742];[1.0, 0.9999999999983996];[1.0, 0.9999999999997922];[1.0, 0.9999999999962382];[1.0, 0.9999999999995773];[1.0, 0.9999999999979023]
0.0;[0.0, 0.9999991692082946];[0.0, 0.9999984394843051];[0.0, 0.9999990201263812];[0.0, 0.9999998914843503];[0.0, 0.999999687188484];[0.0, 0.9999998035960362];[0.0, 0.9999961260463234];[0.0, 0.9999996563005176];[0.0, 0.9999999111540802];[0.0, 0.9999999723363918];[1.0, 0.999998139807439];[1.0, 0.9999998505184451];[1.0, 0.9999998719377965];[1.0, 0.9999995657346804];[1.0, 0.9999998025090572];[1.0, 0.9999998659390618];[1.0, 0.9999996670643583];[1.0, 0.9999993342341253];[1.0, 0.9999941198371648];[1.0, 0.9999997995766576]
0.0;[0.0, 0.9999999999664398];[0.0, 0.9999999999830799];[0.0, 0.999999999973162];[0.0, 0.9999999999989991];[0.0, 0.9999999999959724];[0.0, 0.9999999999937872];[0.0, 0.999999999973386];[0.0, 0.9999999999927334];[0.0, 0.9999999999988953];[0.0, 0.999999999996366];[1.0, 0.9999999999942765];[1.0, 0.9999999999913741];[1.0, 0.9999999999834884];[1.0, 0.9999999999873371];[1.0, 0.9999999999955985];[1.0, 0.9999999999969991];[1.0, 0.9999999999996989];[1.0, 0.9999999999961916];[1.0, 0.9999999999804717];[1.0, 0.99999999999893]
0.0;[0.0, 0.9999999998874263];[0.0, 0.9999999982914671];[0.0, 0.9999999684026621];[0.0, 0.999999999148557];[0.0, 0.999999997696015];[0.0, 0.9999999995487381];[0.0, 0.9999992911193187];[0.0, 0.9999999951744785];[0.0, 0.9999999996388137];[0.0, 0.9999999993563913];[1.0, 0.999999998945613];[1.0, 0.9999999976873756];[1.0, 0.9999999999635387];[1.0, 0.9999999998992304];[1.0, 0.9999999996612132];[1.0, 0.9999999990408865];[1.0, 0.999999999988197];[1.0, 0.9999999991153726];[1.0, 0.9999999989222939];[1.0, 0.9999999961664596]
0.0;[0.0, 0.9999998727747145];[0.0, 0.9999992792842778];[0.0, 0.9999971642663257];[0.0, 0.9999991754753265];[0.0, 0.9999979565631648];[0.0, 0.9999980814823709];[0.0, 0.9999980557965918];[0.0, 0.9999989062002131];[0.0, 0.9999930031838374];[0.0, 0.999996361693229];[1.0, 0.9999809549760967];[1.0, 0.999999085102293];[1.0, 0.9999994330124201];[1.0, 0.9999924363947817];[1.0, 0.9999752326285335];[1.0, 0.999996042179215];[1.0, 0.9999987663521503];[1.0, 0.9999843140651523];[1.0, 0.9999980874968024];[1.0, 0.9999512077445837]
0.0;[0.0, 0.9999999999936701];[0.0, 0.9999999999881217];[0.0, 0.9999999999339882];[0.0, 0.9999999999970545];[0.0, 0.9999999999998129];[0.0, 0.9999999999945375];[0.0, 0.9999999999971539];[0.0, 0.9999999999993654];[0.0, 0.9999999999783641];[0.0, 0.9999999999962125];[1.0, 0.9999999999989858];[1.0, 0.9999999999794976];[1.0, 0.9999999999995959];[1.0, 0.9999999995851516];[1.0, 0.9999999999992715];[1.0, 0.9999999999197952];[1.0, 0.9999999999786674];[1.0, 0.9999999999957204];[1.0, 0.9999999999988853];[1.0, 0.9999999999932138]
0.0;[0.0, 0.9999999475551652];[0.0, 0.9999994520677875];[0.0, 0.9999997294730308];[0.0, 0.9999991031252307];[0.0, 0.9999996027264045];[0.0, 0.9999993071373069];[0.0, 0.9999998958180553];[0.0, 0.9999999926375219];[0.0, 0.9999995030437736];[0.0, 0.999993316460409];[1.0, 0.999999747411338];[1.0, 0.9999994380199332];[1.0, 0.9999999598381009];[1.0, 0.9999999789104391];[1.0, 0.9999997670214714];[1.0, 0.9999991789752922];[1.0, 0.999999985870709];[1.0, 0.9999999740348826];[1.0, 0.9999985989044359];[1.0, 0.999999295458006]
0.0;[0.0, 0.9999990753582166];[0.0, 0.9999925786850853];[0.0, 0.9999987535753663];[0.0, 0.9999998998051326];[0.0, 0.999999971912044];[0.0, 0.9999999405600432];[0.0, 0.9999996776796096];[0.0, 0.9999999542414464];[0.0, 0.9999997956362705];[0.0, 0.9999999270429493];[1.0, 0.9999998417628805];[1.0, 0.9999999524167197];[1.0, 0.9999997993160584];[1.0, 0.999999789950874];[1.0, 0.9999999322072233];[1.0, 0.9999998067308905];[1.0, 0.9999999623304539];[1.0, 0.9999999369208502];[1.0, 0.9999999593965505];[1.0, 0.9999976858511637]
0.0;[0.0, 0.9999994345430402];[0.0, 0.9999793938297098];[0.0, 0.999996469242415];[0.0, 0.9999995432717534];[0.0, 0.9999958264521752];[0.0, 0.999995439567377];[0.0, 0.9999968154755963];[0.0, 0.9999995557152384];[0.0, 0.9999939812715631];[0.0, 0.9999979807017177];[1.0, 0.9999811903855498];[1.0, 0.9998728627614414];[1.0, 0.9999985716838735];[1.0, 0.9999974073003804];[1.0, 0.9999991673716141];[1.0, 0.9999916243012423];[1.0, 0.9999954817242095];[1.0, 0.9999932344095923];[1.0, 0.9980297220121357];[1.0, 0.9999989275215823]
0.0;[0.0, 0.9999970802276165];[0.0, 0.9999903629055358];[0.0, 0.9999988698371347];[0.0, 0.9999999379825312];[0.0, 0.999999943350789];[0.0, 0.9999999836706452];[0.0, 0.9999999537838464];[0.0, 0.9999996489721041];[0.0, 0.9999997503562397];[0.0, 0.9999992028109611];[1.0, 0.999999947148924];[1.0, 0.9999997544175924];[1.0, 0.9999997199348978];[1.0, 0.9999999650595379];[1.0, 0.9999997129467797];[1.0, 0.9999983778631422];[1.0, 0.9999992709370978];[1.0, 0.9999721702278583];[1.0, 0.9999999130073879];[1.0, 0.9999991944660352]
0.75;[0.0, 0.9999515091807665];[0.0, 0.999977291366917];[0.0, 0.9987671097638422];[0.0, 0.9995620524323716];[0.0, 0.9999971228222937];[0.0, 0.9999235259690022];[0.0, 0.9999996560933443];[0.0, 0.9995792332490676];[0.0, 0.9999320074432052];[0.0, 0.9999001899126524];[1.0, 0.9995746631882042];[1.0, 0.9996532851706772];[1.0, 0.9998264463026466];[1.0, 0.99994674443006];[1.0, 0.999577961029369];[1.0, 0.9995470763687372];[1.0, 0.9995256707707024];[1.0, 0.999330427191939];[1.0, 0.9995974490398067];[1.0, 0.9996914932546521]
0.75;[0.0, 0.9999891472594276];[0.0, 0.9998637446164166];[0.0, 0.9999672993069157];[0.0, 0.9999975323988897];[0.0, 0.9999962253431015];[0.0, 0.9999773238146533];[0.0, 0.999999769140839];[0.0, 0.9999957029210436];[0.0, 0.9998449667941953];[0.0, 0.9999926734716466];[1.0, 0.9999970534662569];[1.0, 0.9999991172981886];[1.0, 0.9999974486171711];[1.0, 0.9999977986792801];[1.0, 0.9999974675404216];[1.0, 0.999997583933983];[1.0, 0.9999995444818041];[1.0, 0.9999974631316704];[1.0, 0.9999985940146743];[1.0, 0.9999974873641445]
0.75;[0.0, 0.9999999999400012];[0.0, 0.9999999999944591];[0.0, 0.9999999999998419];[0.0, 0.9999999999617578];[0.0, 0.9999999999943829];[0.0, 0.9999999999952796];[0.0, 0.9999999999990971];[0.0, 0.9999999999953897];[0.0, 0.9999999999996817];[0.0, 0.9999999999655038];[1.0, 0.9999999727828266];[1.0, 0.9999999502826662];[1.0, 0.9999999937654737];[1.0, 0.9999999671037283];[1.0, 0.9999999819163031];[1.0, 0.9999999959806152];[1.0, 0.9999999973531097];[1.0, 0.9999999864171559];[1.0, 0.9999999878056803];[1.0, 0.9999999684405845]
0.75;[0.0, 0.9999999966169746];[0.0, 0.9999998973868853];[0.0, 0.9999997463024973];[0.0, 0.9999999927488604];[0.0, 0.9999997201047793];[0.0, 0.9999999870049796];[0.0, 0.9999994880226319];[0.0, 0.9999999943903939];[0.0, 0.9999997433231973];[0.0, 0.9999993441016657];[1.0, 0.9999908900286901];[1.0, 0.9999920400372427];[1.0, 0.9999668064390659];[1.0, 0.9999645848108027];[1.0, 0.9999334151043873];[1.0, 0.9999313458408493];[1.0, 0.99992747111824];[1.0, 0.9999520528392245];[1.0, 0.9999739112056465];[1.0, 0.9999148149333568]
0.75;[0.0, 0.9999996266532125];[0.0, 0.9999994138513135];[0.0, 0.9999999363818437];[0.0, 0.9999996394140458];[0.0, 0.9999990807371163];[0.0, 0.9999994238741332];[0.0, 0.9999999759904787];[0.0, 0.9999999653986149];[0.0, 0.9999997931339327];[0.0, 0.9999999747101875];[1.0, 0.9999995764992101];[1.0, 0.9999996645570022];[1.0, 0.9999993499705406];[1.0, 0.9999995774506115];[1.0, 0.9999996134764503];[1.0, 0.99999989507667];[1.0, 0.9999998707149493];[1.0, 0.9999996773428281];[1.0, 0.9999996772561057];[1.0, 0.9999995474996305]
