m_mistrust,outcome,credences
0.1,Polarized,"[[0.0, 0.9960379678119834], [0.0, 0.9998298425839061], [0.0, 0.9994486600621066], [0.0, 0.9996977742975153], [0.0, 0.9991220726021559], [0.0, 0.9997682879777642], [0.0, 0.998665224850593], [0.0, 0.9995965398511473], [0.0, 0.9989596365965234], [0.0, 0.9994070215739846], [1.0, 0.9992452190939851], [1.0, 0.999997720237851], [1.0, 0.994660243888626], [1.0, 0.9999661688523025], [1.0, 0.9983131738866127], [1.0, 0.9987715860082442], [1.0, 0.9996508555906066], [1.0, 0.9999591013546956], [1.0, 0.9998624395249253], [1.0, 0.9999368892738525]]"
5.366666666666666,Polarized,"[[0.0, 3.632988892788683e-11], [0.0, 2.1575588589172832e-10], [0.0, 3.1201851188006036e-10], [0.0, 8.968781581317991e-06], [0.0, 1.4858722785134673e-08], [0.0, 1.83648544325364e-07], [0.0, 1.9055159821425526e-07], [0.0, 1.9055769572321784e-07], [0.0, 1.905537031205224e-07], [0.0, 1.9055612229521078e-07], [1.0, 5.533908448241383e-11], [1.0, 4.731768870564193e-05], [1.0, 8.561248993274412e-09], [1.0, 0.00016039856818106697], [1.0, 1.930582705416326e-06], [1.0, 2.81998638607848e-06], [1.0, 1.3855687566587766e-05], [1.0, 0.004627906194486403], [1.0, 0.003312289805762476], [1.0, 0.4236045805495082]]"
7.122222222222222,Polarized,"[[0.0, 2.5139858022483892e-11], [0.0, 2.145946550739903e-10], [0.0, 2.1495027848497083e-10], [0.0, 1.1827049288235342e-05], [0.0, 8.800388843272001e-09], [0.0, 1.2659787990450407e-07], [0.0, 1.2529139903643936e-07], [0.0, 1.2529335198098728e-07], [0.0, 1.2529160370138216e-07], [0.0, 1.252920281533493e-07], [1.0, 5.533908448241383e-11], [1.0, 4.258111012627773e-05], [1.0, 8.562934858086195e-09], [1.0, 0.00014531412146201326], [1.0, 1.9495258797563772e-06], [1.0, 2.8605491087446167e-06], [1.0, 1.4756961264881842e-05], [1.0, 0.0043753923650389345], [1.0, 0.0033223867878544202], [1.0, 0.3246961470562095]]"
6.244444444444444,Polarized,"[[0.0, 2.5139858022483892e-11], [0.0, 2.145946550739903e-10], [0.0, 2.402898272040118e-10], [0.0, 1.0003494281904771e-05], [0.0, 1.0431984984839357e-08], [0.0, 1.501493089747537e-07], [0.0, 1.510030330024628e-07], [0.0, 1.5100617599460374e-07], [0.0, 1.5100378266569058e-07], [0.0, 1.510046689110121e-07], [1.0, 5.533908448241383e-11], [1.0, 4.258111012627773e-05], [1.0, 8.56234955902837e-09], [1.0, 0.0001532071716281905], [1.0, 1.9399941047760104e-06], [1.0, 2.8401270479418935e-06], [1.0, 1.4297829304846372e-05], [1.0, 0.004496884136473885], [1.0, 0.0035972023239248586], [1.0, 0.36746224901351726]]"
8.0,Polarized,"[[0.0, 2.5139858022483892e-11], [0.0, 2.145946550739903e-10], [0.0, 2.037761430585721e-10], [0.0, 1.2131671465454867e-05], [0.0, 7.60503784850061e-09], [0.0, 1.1021962606194792e-07], [0.0, 1.0703641878052481e-07], [0.0, 1.0703786539057114e-07], [0.0, 1.0703648393246244e-07], [0.0, 1.0703686761739416e-07], [1.0, 5.533908448241383e-11], [1.0, 4.258111012627773e-05], [1.0, 8.563520023722209e-09], [1.0, 0.00013716957214768673], [1.0, 1.9591856869245727e-06], [1.0, 2.8812654207083895e-06], [1.0, 1.5233269238765346e-05], [1.0, 0.003974242317787171], [1.0, 0.0028960358654429846], [1.0, 0.2909452071616842]]"
3.611111111111111,Polarized,"[[0.0, 2.76290317157482e-13], [0.0, 3.14713274107607e-11], [0.0, 1.467786659430142e-08], [0.0, 5.237950819470536e-08], [0.0, 2.9896617398432452e-09], [0.0, 2.043624142797386e-09], [0.0, 2.4817532809649535e-09], [0.0, 2.4871095585772198e-09], [0.0, 2.484102248664529e-09], [0.0, 2.4867130064873324e-09], [1.0, 3.9816233982888574e-13], [1.0, 0.9924754761740828], [1.0, 4.166458538649086e-14], [1.0, 7.751658670165932e-10], [1.0, 9.131055321747908e-12], [1.0, 1.3158170751640156e-11], [1.0, 5.600780608571265e-11], [1.0, 1.588021656500804e-08], [1.0, 2.3141282213877622e-09], [1.0, 9.558388718523e-06]]"
1.8555555555555556,Polarized,"[[0.0, 6.4395230608469184e-18], [0.0, 1.915682988597861e-14], [0.0, 4.553920650969666e-15], [0.0, 7.051349467527705e-12], [0.0, 1.032779656044782e-15], [0.0, 2.958735694155434e-11], [0.0, 1.608464416437476e-17], [0.0, 1.2147665162307403e-13], [0.0, 8.41253249376134e-17], [0.0, 5.767029552511366e-15], [1.0, 0.999991708655887], [1.0, 0.999999992631], [1.0, 0.9976984987090508], [1.0, 0.9999999513132181], [1.0, 0.9999419249679804], [1.0, 0.9999793107592254], [1.0, 0.9999985677981674], [1.0, 0.9999999441954669], [1.0, 0.9999996139828102], [1.0, 0.9999998283433067]]"
2.7333333333333334,Polarized,"[[0.0, 3.485198779798347e-12], [0.0, 8.098966502990908e-09], [0.0, 1.3821548113800302e-08], [0.0, 5.441268315834482e-08], [0.0, 3.298390361375285e-09], [0.0, 3.4734870022156405e-09], [0.0, 4.7869015361219725e-09], [0.0, 5.0791174892168625e-09], [0.0, 4.854425325865135e-09], [0.0, 4.996091411893895e-09], [1.0, 4.810053343723217e-13], [1.0, 0.9941602240785847], [1.0, 7.759085007760141e-14], [1.0, 1.5352924585308933e-09], [1.0, 1.7007976939345828e-11], [1.0, 2.451202181074184e-11], [1.0, 1.0446840848060354e-10], [1.0, 2.349980439632931e-08], [1.0, 3.5795798875108757e-09], [1.0, 1.7759784702579476e-05]]"
0.1,Polarized,"[[0.0, 0.9999897298524858], [0.0, 0.9999823654696638], [0.0, 0.9999998961076978], [0.0, 0.9999977699828774], [0.0, 0.9999997706250605], [0.0, 0.9999871184701703], [0.0, 0.9999997182621576], [0.0, 0.9999996376082027], [0.0, 0.9999992183632649], [0.0, 0.9999949981550815], [1.0, 0.9999956092326284], [1.0, 0.9999875903440091], [1.0, 0.9999973122056149], [1.0, 0.9999933479127776], [1.0, 0.9999822054311318], [1.0, 0.9999996963232604], [1.0, 0.9999990441470863], [1.0, 0.9999872118992419], [1.0, 0.9999971833237107], [1.0, 0.9999953285310768]]"
3.611111111111111,Polarized,"[[0.0, 1.8774276287651785e-06], [0.0, 5.325436490168683e-07], [0.0, 6.194122751702838e-07], [0.0, 1.2837607642236875e-06], [0.0, 5.604161368985143e-07], [0.0, 3.3070251156600517e-07], [0.0, 1.0961515699174993e-06], [0.0, 4.0516933590382306e-07], [0.0, 3.8849827701879116e-08], [0.0, 0.29309835567405795], [1.0, 0.00020832610614716343], [1.0, 0.01920955295988105], [1.0, 0.00012152260285480272], [1.0, 0.00025985907446729066], [1.0, 0.0003840608575368308], [1.0, 0.00010597632592876107], [1.0, 6.176402874759096e-05], [1.0, 3.244117246126878e-05], [1.0, 0.3741999244151951], [1.0, 0.06453009660416893]]"
4.488888888888889,Polarized,"[[0.0, 3.2250872442226647e-13], [0.0, 1.5632151671362937e-12], [0.0, 1.060595540883224e-08], [0.0, 5.290511560090137e-08], [0.0, 3.138399510068937e-09], [0.0, 1.4697630512497812e-09], [0.0, 1.6133345233140531e-09], [0.0, 1.6136053163069446e-09], [0.0, 1.6134821707408486e-09], [0.0, 1.6135736463487619e-09], [1.0, 3.6884057764799437e-13], [1.0, 0.9907147697409993], [1.0, 3.859629148210804e-14], [1.0, 7.180821788189156e-10], [1.0, 8.45864505407e-12], [1.0, 1.2189220985171774e-11], [1.0, 5.1884237291985595e-11], [1.0, 1.471714448488823e-08], [1.0, 2.314590733980808e-09], [1.0, 9.663877204749479e-06]]"
7.122222222222222,Polarized,"[[0.0, 2.0042509708193267e-19], [0.0, 1.1300608888642338e-19], [0.0, 0.9949157358898297], [0.0, 0.00023655372883991634], [0.0, 1.6967771935737308e-14], [0.0, 6.908734969510387e-15], [0.0, 1.9304096185244148e-12], [0.0, 4.203313181231624e-12], [0.0, 4.333590388482498e-09], [0.0, 1.5783014150414575e-09], [1.0, 9.139916924566313e-19], [1.0, 2.617803386832687e-19], [1.0, 3.3147694661562226e-18], [1.0, 1.2534014051182532e-18], [1.0, 3.6679840476857483e-19], [1.0, 5.3407160538127064e-15], [1.0, 2.14043481588479e-13], [1.0, 9.21004910078877e-15], [1.0, 3.734731682969079e-12], [1.0, 1.7836074762368481e-12]]"
6.244444444444444,Polarized,"[[0.0, 2.0042509708193267e-19], [0.0, 1.1300608888642338e-19], [0.0, 0.9934034663413882], [0.0, 0.0003110994900005937], [0.0, 2.2085938812857353e-14], [0.0, 2.9005871708488985e-15], [0.0, 3.5052872456391486e-12], [0.0, 4.93904005014713e-12], [0.0, 5.217362516674985e-09], [0.0, 1.851069008114566e-09], [1.0, 9.139916924566313e-19], [1.0, 2.6178033867383236e-19], [1.0, 3.3147694657927114e-18], [1.0, 1.2534014042949126e-18], [1.0, 3.6679840469806794e-19], [1.0, 5.3407155808328065e-15], [1.0, 2.1404347471556872e-13], [1.0, 9.21004909483909e-15], [1.0, 3.734731651781869e-12], [1.0, 1.7836074672697375e-12]]"
2.7333333333333334,Polarized,"[[0.0, 7.1409581992372e-05], [0.0, 6.97692543260211e-07], [0.0, 9.083103267224331e-07], [0.0, 5.175154707048882e-06], [0.0, 7.607014570985081e-07], [0.0, 3.5888628711168504e-07], [0.0, 3.26536965147988e-06], [0.0, 4.6599956177102954e-07], [0.0, 3.8849827701879116e-08], [0.0, 0.29309835567405795], [1.0, 0.00023797726379997124], [1.0, 0.08543778368951652], [1.0, 0.00014309891494633336], [1.0, 0.00030476560941587993], [1.0, 0.00044820703790799136], [1.0, 0.0001248551042744268], [1.0, 7.287468150243074e-05], [1.0, 3.831626958441999e-05], [1.0, 0.44604661034125914], [1.0, 0.11138932472761999]]"
5.366666666666666,Polarized,"[[0.0, 2.0042509708193267e-19], [0.0, 1.1300608888642338e-19], [0.0, 0.9921255508496927], [0.0, 0.0003393507290485426], [0.0, 3.2017613904875504e-14], [0.0, 8.815567192579314e-15], [0.0, 7.218599198403195e-11], [0.0, 5.989173782818687e-12], [0.0, 6.567740721742436e-09], [0.0, 2.237727465163044e-09], [1.0, 9.139916924566313e-19], [1.0, 2.617803386643966e-19], [1.0, 3.3147694654291925e-18], [1.0, 1.2534014034715702e-18], [1.0, 3.667984046275621e-19], [1.0, 5.340715107852975e-15], [1.0, 2.140434678426594e-13], [1.0, 9.210049088889456e-15], [1.0, 3.7347316205946484e-12], [1.0, 1.783607458302633e-12]]"
4.488888888888889,Polarized,"[[0.0, 1.5019681947923968e-06], [0.0, 5.325436490168683e-07], [0.0, 6.194122751702838e-07], [0.0, 1.1689527402658576e-06], [0.0, 5.604161368985143e-07], [0.0, 3.3070251156600517e-07], [0.0, 1.0396696541070252e-06], [0.0, 4.0516933590382306e-07], [0.0, 3.8849827701879116e-08], [0.0, 0.29309835567405795], [1.0, 0.000152286164557886], [1.0, 0.011551277053658111], [1.0, 8.471404534756278e-05], [1.0, 0.00018175853670422017], [1.0, 0.00028677793318995185], [1.0, 7.387950873842182e-05], [1.0, 4.3059389267675415e-05], [1.0, 2.261598252814919e-05], [1.0, 0.32850985694791934], [1.0, 0.057122891353598174]]"
0.9777777777777777,Polarized,"[[0.0, 0.999999659657501], [0.0, 0.9999999314489498], [0.0, 0.9999999042868455], [0.0, 0.9999999317780459], [0.0, 0.9999998845577055], [0.0, 0.9999999396866027], [0.0, 0.9999998573147679], [0.0, 0.9999999177310811], [0.0, 0.9999998842595901], [0.0, 0.9999998593044225], [1.0, 0.9999999811730823], [1.0, 0.9999999996879478], [1.0, 0.9999999170080951], [1.0, 0.9999999964229215], [1.0, 0.9999999653266008], [1.0, 0.9999999729685016], [1.0, 0.9999999873171578], [1.0, 0.9999999965822973], [1.0, 0.999999993282241], [1.0, 0.999999993275411]]"
6.244444444444444,Polarized,"[[0.0, 5.894899111604713e-13], [0.0, 2.3345109246856678e-12], [0.0, 0.0009413918608670776], [0.0, 1.2327611597714229e-09], [0.0, 2.406304594618088e-07], [0.0, 5.606983332139056e-08], [0.0, 5.6069832218383925e-08], [0.0, 5.711717287484971e-08], [0.0, 7.467683453159753e-08], [0.0, 5.310470931158177e-06], [1.0, 8.143259855622592e-11], [1.0, 1.7480596059360812e-12], [1.0, 3.269273280215855e-12], [1.0, 2.2782000553366258e-12], [1.0, 5.024321706560938e-12], [1.0, 4.594520017140653e-13], [1.0, 2.328621907153897e-11], [1.0, 2.941366518456804e-10], [1.0, 2.513110364412421e-09], [1.0, 3.99198187884318e-06]]"
7.122222222222222,Polarized,"[[0.0, 5.894899111604713e-13], [0.0, 2.3345109246856678e-12], [0.0, 0.0005985669293748132], [0.0, 1.0552016197362342e-09], [0.0, 1.5232256397465673e-07], [0.0, 5.7738871508782754e-08], [0.0, 5.7738871280899723e-08], [0.0, 4.74733132641732e-08], [0.0, 6.212317415042194e-08], [0.0, 4.4177492702519214e-06], [1.0, 8.143259855622592e-11], [1.0, 1.748060476068414e-12], [1.0, 3.2692763244862553e-12], [1.0, 2.2782015334596902e-12], [1.0, 5.024330335813413e-12], [1.0, 4.594520945109826e-13], [1.0, 2.3286276412889665e-11], [1.0, 2.941391883487357e-10], [1.0, 2.5131390633817255e-09], [1.0, 3.992602172958746e-06]]"
5.366666666666666,Polarized,"[[0.0, 5.894899111604713e-13], [0.0, 2.3345109246856678e-12], [0.0, 0.002122658069199447], [0.0, 1.6153522001337577e-09], [0.0, 2.2428751754854123e-05], [0.0, 8.985402970067871e-08], [0.0, 8.985363083185128e-08], [0.0, 7.172846108873373e-08], [0.0, 9.359669906017235e-08], [0.0, 6.653727172967753e-06], [1.0, 8.143259855622592e-11], [1.0, 1.7480587358044714e-12], [1.0, 3.269270235950234e-12], [1.0, 2.2781985772151854e-12], [1.0, 5.024313077333405e-12], [1.0, 4.594519089171812e-13], [1.0, 2.3286161730428332e-11], [1.0, 2.9413411538238267e-10], [1.0, 2.5130816660526035e-09], [1.0, 3.991361766186485e-06]]"
0.1,Polarized,"[[0.0, 0.9999999965547974], [0.0, 0.9999999997837349], [0.0, 0.999999999966587], [0.0, 0.9999999988500686], [0.0, 0.9999999991525084], [0.0, 0.999999999377884], [0.0, 0.9999999990170692], [0.0, 0.9999999999313434], [0.0, 0.9999999988732006], [0.0, 0.999999998606668], [1.0, 0.9999999993310779], [1.0, 0.999999999447553], [1.0, 0.9999999999566954], [1.0, 0.9999999999829696], [1.0, 0.9999999989646328], [1.0, 0.9999999998088014], [1.0, 0.999999999636745], [1.0, 0.999999999503576], [1.0, 0.9999999997974485], [1.0, 0.9999999997310093]]"
1.8555555555555556,Polarized,"[[0.0, 0.9999999811255407], [0.0, 0.9999998708121304], [0.0, 0.9999999789805145], [0.0, 0.9999999280787459], [0.0, 0.999998264049374], [0.0, 0.9999999362378929], [0.0, 0.9999999224764717], [0.0, 0.9999999975910012], [0.0, 0.9999998804829161], [0.0, 0.9999999048267165], [1.0, 8.306859838497346e-29], [1.0, 1.4072648415802642e-30], [1.0, 0.9999188386813376], [1.0, 9.78497761713176e-29], [1.0, 2.2386752895154386e-28], [1.0, 0.30990054268861744], [1.0, 1.8615111503417321e-29], [1.0, 1.9815273870385724e-29], [1.0, 4.529312250425159e-29], [1.0, 3.293444077535916e-30]]"
