m_mistrust,outcome,credences
0.1,Polarization,"[[0.0, 0.9999999907801155], [0.0, 0.9999999999900405], [0.0, 0.9999999939022279], [0.0, 0.9999999973349685], [0.0, 0.9999999964122849], [0.0, 0.9999999991252949], [0.0, 0.9999999997413798], [0.0, 0.9999999978180839], [0.0, 0.9999999996893746], [0.0, 0.9999999967318628], [1.0, 0.9999999806972966], [1.0, 0.9999999991502756], [1.0, 0.9999999989659571], [1.0, 0.999999998586568], [1.0, 0.999999995623373], [1.0, 0.9999999982524315], [1.0, 0.9999999989032129], [1.0, 0.9999999954452753], [1.0, 0.9999999976418879], [1.0, 0.9999999999432543]]"
0.5775510204081632,Polarization,"[[0.0, 0.9999962109232078], [0.0, 0.9999999955689378], [0.0, 0.9999972626867442], [0.0, 0.9999986225085432], [0.0, 0.9999982291010976], [0.0, 0.9999994856933407], [0.0, 0.9999998845029703], [0.0, 0.9999990065915888], [0.0, 0.9999998955545315], [0.0, 0.9999985251456454], [1.0, 0.9999996496873589], [1.0, 0.99999984017177], [1.0, 0.9999997693489756], [1.0, 0.9999997538663121], [1.0, 0.9999996991011956], [1.0, 0.9999997435811274], [1.0, 0.999999766389509], [1.0, 0.9999996971192329], [1.0, 0.999999729179739], [1.0, 0.9999999080465257]]"
0.41836734693877553,Polarization,"[[0.0, 0.9999993598089411], [0.0, 0.9999999992199062], [0.0, 0.9999995450448462], [0.0, 0.999999776576935], [0.0, 0.9999997105187235], [0.0, 0.999999918419542], [0.0, 0.9999999810973542], [0.0, 0.9999998416821806], [0.0, 0.9999999810172413], [0.0, 0.9999997664992412], [1.0, 0.9999998396770342], [1.0, 0.9999999489974323], [1.0, 0.9999999290636138], [1.0, 0.9999999205494606], [1.0, 0.9999998868028963], [1.0, 0.9999999146098512], [1.0, 0.9999999274779452], [1.0, 0.9999998854979226], [1.0, 0.999999905953307], [1.0, 0.9999999856092604]]"
0.49795918367346936,Polarization,"[[0.0, 0.9999983971479647], [0.0, 0.9999999980744906], [0.0, 0.9999988503158227], [0.0, 0.9999994273243419], [0.0, 0.9999992614045771], [0.0, 0.9999997881284933], [0.0, 0.9999999520243993], [0.0, 0.9999995937512922], [0.0, 0.9999999542324451], [0.0, 0.9999993994712724], [1.0, 0.9999997565134312], [1.0, 0.9999999042256084], [1.0, 0.9999998640099431], [1.0, 0.9999998519334349], [1.0, 0.9999998073474434], [1.0, 0.9999998437551744], [1.0, 0.999999861725389], [1.0, 0.9999998056958768], [1.0, 0.9999998321296988], [1.0, 0.9999999608468897]]"
0.3387755102040816,Polarization,"[[0.0, 0.9999997585610026], [0.0, 0.9999999997059311], [0.0, 0.999999830449428], [0.0, 0.9999999182997488], [0.0, 0.9999998934843607], [0.0, 0.9999999706923866], [0.0, 0.9999999929469847], [0.0, 0.9999999412911147], [0.0, 0.9999999925614934], [0.0, 0.9999999134159766], [1.0, 0.9999998999726583], [1.0, 0.9999999763900732], [1.0, 0.999999968008863], [1.0, 0.9999999627945915], [1.0, 0.999999939792561], [1.0, 0.9999999590007634], [1.0, 0.9999999670586975], [1.0, 0.9999999388403388], [1.0, 0.9999999532615083], [1.0, 0.9999999954448935]]"
0.25918367346938775,Polarization,"[[0.0, 0.9999999140046016], [0.0, 0.9999999998970999], [0.0, 0.9999999405217365], [0.0, 0.9999999720396585], [0.0, 0.9999999632490091], [0.0, 0.9999999901984837], [0.0, 0.9999999975127332], [0.0, 0.9999999793192411], [0.0, 0.9999999972523084], [0.0, 0.9999999694282453], [1.0, 0.9999999406299137], [1.0, 0.9999999906977505], [1.0, 0.9999999877882344], [1.0, 0.9999999851160336], [1.0, 0.9999999714377509], [1.0, 0.9999999830627136], [1.0, 0.9999999873147165], [1.0, 0.9999999708138443], [1.0, 0.9999999797941856], [1.0, 0.9999999987623767]]"
0.17959183673469387,Polarization,"[[0.0, 0.9999999710549129], [0.0, 0.9999999999666707], [0.0, 0.9999999803671613], [0.0, 0.999999991060367], [0.0, 0.9999999881257828], [0.0, 0.9999999969565005], [0.0, 0.9999999991729172], [0.0, 0.9999999930934184], [0.0, 0.9999999990457477], [0.0, 0.999999989738699], [1.0, 0.9999999660545139], [1.0, 0.9999999969252742], [1.0, 0.9999999961071319], [1.0, 0.9999999949896058], [1.0, 0.9999999880627152], [1.0, 0.9999999940733798], [1.0, 0.9999999959155129], [1.0, 0.9999999877044669], [1.0, 0.9999999925188519], [1.0, 0.9999999997125891]]"
0.8163265306122448,Polarization,"[[0.0, 0.9999645851197007], [0.0, 0.9999999640269575], [0.0, 0.9999741029928134], [0.0, 0.9999868097144817], [0.0, 0.9999830945066609], [0.0, 0.9999950346517439], [0.0, 0.999998813027339], [0.0, 0.9999890038112933], [0.0, 0.9999990951810518], [0.0, 0.9999832736917024], [1.0, 0.9999992373338843], [1.0, 0.9999995679894395], [1.0, 0.9999993559664615], [1.0, 0.9999993317325512], [1.0, 0.9999992482923541], [1.0, 0.9999993159221521], [1.0, 0.9999993512823039], [1.0, 0.9999992452655022], [1.0, 0.999999293992357], [1.0, 0.9999995021803447]]"
0.9755102040816326,Polarization,"[[0.0, 0.9998827552767069], [0.0, 0.9999998955758339], [0.0, 0.9999140428506337], [0.0, 0.9999563699932625], [0.0, 0.9999439639344958], [0.0, 0.9999836833276844], [0.0, 0.9999956259750038], [0.0, 0.9999564390120361], [0.0, 0.9999970442552255], [0.0, 0.9999321095034882], [1.0, 0.9999990131834695], [1.0, 0.999999422291852], [1.0, 0.9999991285338874], [1.0, 0.9999990986147795], [1.0, 0.9999989925333321], [1.0, 0.999999078979263], [1.0, 0.9999991227599813], [1.0, 0.9999989885362819], [1.0, 0.9999990514661834], [1.0, 0.9999992622430168]]"
0.736734693877551,Polarization,"[[0.0, 0.9999821843123453], [0.0, 0.9999999808680989], [0.0, 0.9999870081853179], [0.0, 0.9999933918616672], [0.0, 0.9999915299690825], [0.0, 0.9999975123143181], [0.0, 0.999999425978926], [0.0, 0.9999948358226118], [0.0, 0.9999995360774832], [0.0, 0.9999922217716373], [1.0, 0.9999993805776951], [1.0, 0.9999996645017812], [1.0, 0.9999995042482678], [1.0, 0.9999994828055286], [1.0, 0.999999409190774], [1.0, 0.9999994687971863], [1.0, 0.9999995001092452], [1.0, 0.9999994065455344], [1.0, 0.9999994493872232], [1.0, 0.9999996721565124]]"
1.1346938775510205,Polarization,"[[0.0, 0.9996956965700112], [0.0, 0.9999997670636246], [0.0, 0.9997770036980058], [0.0, 0.9998879153136786], [0.0, 0.9998554123070007], [0.0, 0.9999586179377453], [0.0, 0.9999868003159307], [0.0, 0.9998560965234358], [0.0, 0.9999921199499069], [0.0, 0.9997691627101681], [1.0, 0.9999989958876464], [1.0, 0.9999994383030248], [1.0, 0.9999991525222128], [1.0, 0.9999991187446139], [1.0, 0.9999989917121179], [1.0, 0.9999990962308973], [1.0, 0.999999146044206], [1.0, 0.9999989866042711], [1.0, 0.9999990640542605], [1.0, 0.9999994053685928]]"
0.6571428571428571,Polarization,"[[0.0, 0.9999915433653819], [0.0, 0.9999999904779278], [0.0, 0.999993857569828], [0.0, 0.9999968878459178], [0.0, 0.9999960070741201], [0.0, 0.9999988314490668], [0.0, 0.999999735921542], [0.0, 0.9999976822761071], [0.0, 0.9999997740493429], [0.0, 0.9999965373386912], [1.0, 0.9999995219846205], [1.0, 0.9999997584154362], [1.0, 0.9999996468113941], [1.0, 0.9999996282311405], [1.0, 0.9999995639549901], [1.0, 0.999999616026213], [1.0, 0.9999996432372096], [1.0, 0.9999995616491577], [1.0, 0.9999995990700348], [1.0, 0.9999998133107799]]"
0.8959183673469387,Polarization,"[[0.0, 0.9999336138400161], [0.0, 0.9999999366670741], [0.0, 0.9999513712176928], [0.0, 0.9999752513654756], [0.0, 0.9999682581014628], [0.0, 0.9999907052392744], [0.0, 0.9999976642768363], [0.0, 0.9999776160183992], [0.0, 0.9999983227321958], [0.0, 0.9999655598582586], [1.0, 0.9999991084624453], [1.0, 0.9999994820494859], [1.0, 0.9999992224182037], [1.0, 0.9999991953432972], [1.0, 0.9999991010816754], [1.0, 0.9999991776491387], [1.0, 0.9999992171858163], [1.0, 0.9999990976073824], [1.0, 0.9999991530113774], [1.0, 0.9999993471658306]]"
1.0551020408163265,Polarization,"[[0.0, 0.9998051411907555], [0.0, 0.9999998387806328], [0.0, 0.9998571257141153], [0.0, 0.999927786743741], [0.0, 0.9999070717024642], [0.0, 0.9999731502108187], [0.0, 0.9999922072420436], [0.0, 0.9999189819805958], [0.0, 0.9999950488155993], [0.0, 0.99987195025117], [1.0, 0.999998970845693], [1.0, 0.9999994041734689], [1.0, 0.9999990994609204], [1.0, 0.999999067048395], [1.0, 0.9999989491647243], [1.0, 0.9999990456369204], [1.0, 0.9999990932216913], [1.0, 0.9999989445939823], [1.0, 0.9999990153754659], [1.0, 0.9999992838286664]]"
0.1,Polarization,"[[0.0, 0.9999999999999556], [0.0, 0.9999999999992183], [0.0, 0.9999999999999973], [0.0, 0.999999999999615], [0.0, 0.999999999999833], [0.0, 0.9999999999999131], [0.0, 0.9999999999998394], [0.0, 0.9999999999999933], [0.0, 0.9999999999999168], [0.0, 0.999999999999664], [1.0, 0.9999999999999772], [1.0, 0.999999999999972], [1.0, 0.9999999999999937], [1.0, 0.9999999999999972], [1.0, 0.9999999999999826], [1.0, 0.9999999999999802], [1.0, 0.9999999999999859], [1.0, 0.9999999999999565], [1.0, 0.9999999999999853], [1.0, 0.9999999999999853]]"
0.41836734693877553,Polarization,"[[0.0, 0.9999999996569677], [0.0, 0.9999999992054656], [0.0, 0.9999999999820711], [0.0, 0.9999999993194514], [0.0, 0.9999999994338704], [0.0, 0.999999999633121], [0.0, 0.9999999994060141], [0.0, 0.9999999999466254], [0.0, 0.9999999993732267], [0.0, 0.9999999993019721], [1.0, 0.9999999999868091], [1.0, 0.9999999999897186], [1.0, 0.9999999999994541], [1.0, 0.9999999999980035], [1.0, 0.9999999999987293], [1.0, 0.9999999999869917], [1.0, 0.9999999999987804], [1.0, 0.9999999999985609], [1.0, 0.999999999998773], [1.0, 0.9999999999987763]]"
0.5775510204081632,Polarization,"[[0.0, 0.9999999915539355], [0.0, 0.9999999861005122], [0.0, 0.9999999995833265], [0.0, 0.9999999872095044], [0.0, 0.9999999884544257], [0.0, 0.9999999921016345], [0.0, 0.9999999874172321], [0.0, 0.9999999987181556], [0.0, 0.9999999849192366], [0.0, 0.9999999862528808], [1.0, 0.9999999999047751], [1.0, 0.9999999999356837], [1.0, 0.9999999999971533], [1.0, 0.9999999999844943], [1.0, 0.9999999999934609], [1.0, 0.9999999999007141], [1.0, 0.9999999999936484], [1.0, 0.9999999999929804], [1.0, 0.9999999999936249], [1.0, 0.9999999999936349]]"
0.49795918367346936,Polarization,"[[0.0, 0.999999998114119], [0.0, 0.9999999964105415], [0.0, 0.9999999999041936], [0.0, 0.999999996789176], [0.0, 0.9999999971956759], [0.0, 0.9999999981291967], [0.0, 0.9999999970010593], [0.0, 0.9999999997101119], [0.0, 0.9999999965926818], [0.0, 0.9999999966251116], [1.0, 0.9999999999610003], [1.0, 0.9999999999720193], [1.0, 0.9999999999986763], [1.0, 0.999999999993861], [1.0, 0.9999999999969434], [1.0, 0.9999999999604011], [1.0, 0.9999999999970444], [1.0, 0.9999999999966519], [1.0, 0.999999999997031], [1.0, 0.9999999999970366]]"
0.1,Polarization,"[[0.0, 0.9999999672658703], [0.0, 0.999999936455396], [0.0, 0.9999999841886696], [0.0, 0.9999999861988187], [0.0, 0.9999999815103605], [0.0, 0.9999999948909085], [0.0, 0.9999999993385941], [0.0, 0.9999999990383588], [0.0, 0.999999997862472], [0.0, 0.9999999921514873], [1.0, 0.9999999995889862], [1.0, 0.9999999953590817], [1.0, 0.9999999974312151], [1.0, 0.9999999990830423], [1.0, 0.999999999547769], [1.0, 0.9999999996571122], [1.0, 0.9999999995937998], [1.0, 0.9999999982888336], [1.0, 0.99999999551071], [1.0, 0.9999999965615644]]"
0.25918367346938775,Polarization,"[[0.0, 0.9999999999939597], [0.0, 0.99999999997276], [0.0, 0.999999999999667], [0.0, 0.9999999999804126], [0.0, 0.9999999999865202], [0.0, 0.9999999999919318], [0.0, 0.9999999999864103], [0.0, 0.9999999999990397], [0.0, 0.9999999999887436], [0.0, 0.9999999999811409], [1.0, 0.9999999999991668], [1.0, 0.9999999999991923], [1.0, 0.9999999999999326], [1.0, 0.9999999999998843], [1.0, 0.9999999999998377], [1.0, 0.9999999999992282], [1.0, 0.9999999999998496], [1.0, 0.9999999999997846], [1.0, 0.9999999999998479], [1.0, 0.9999999999998488]]"
0.8163265306122448,Polarization,"[[0.0, 0.9999997744121754], [0.0, 0.9999997165016492], [0.0, 0.999999989842323], [0.0, 0.9999997278648783], [0.0, 0.9999997413447965], [0.0, 0.9999998113185784], [0.0, 0.9999997012782279], [0.0, 0.9999999670858161], [0.0, 0.9999996116747885], [0.0, 0.9999996886828408], [1.0, 0.9999999995485365], [1.0, 0.9999999996965979], [1.0, 0.9999999999859163], [1.0, 0.9999999999225305], [1.0, 0.9999999999677927], [1.0, 0.9999999995024608], [1.0, 0.9999999999686626], [1.0, 0.9999999999660764], [1.0, 0.9999999999685694], [1.0, 0.9999999999686088]]"
0.9755102040816326,Polarization,"[[0.0, 0.9999992695525797], [0.0, 0.999999174965924], [0.0, 0.9999999690778183], [0.0, 0.999999197854891], [0.0, 0.9999992252020036], [0.0, 0.9999994120330347], [0.0, 0.9999990678983885], [0.0, 0.9999998960726107], [0.0, 0.9999987715279492], [0.0, 0.9999990432112242], [1.0, 0.99999999950188], [1.0, 0.9999999996100253], [1.0, 0.9999999999759221], [1.0, 0.9999999999156896], [1.0, 0.9999999999446099], [1.0, 0.9999999994469766], [1.0, 0.9999999999465492], [1.0, 0.9999999999404469], [1.0, 0.9999999999463335], [1.0, 0.9999999999464243]]"
