m_mistrust,credences

3,"[[0.0, 0.9999999999999777], [0.0, 0.9999999999999952], [0.0, 0.99999999999998], [0.0, 0.9999999999999983], [0.0, 0.9999999999999996], [0.0, 0.9999999999999861], [0.0, 1.852186746809593e-16], [0.0, 0.9999999999999717], [0.0, 0.999999999999981], [0.0, 0.9999999999999757], [1.0, 0.999999998226611], [1.0, 3.306013736052894e-18], [1.0, 0.9999999973659901], [1.0, 0.9999999998518396], [1.0, 0.99999999996858], [1.0, 0.9999999999850262], [1.0, 0.9999999972805503], [1.0, 0.9999999999954423], [1.0, 4.324299771478046e-17], [1.0, 0.999999999977163]]"
5,"[[0.0, 1.0], [0.0, 1.0], [0.0, 1.0], [0.0, 1.0], [0.0, 1.0], [0.0, 1.0], [0.0, 1.3228001591186868e-124], [0.0, 1.0], [0.0, 1.0], [0.0, 1.0], [1.0, 8.247847040356341e-126], [1.0, 1.9487749000550443e-133], [1.0, 3.3669879390279827e-126], [1.0, 1.0], [1.0, 1.0], [1.0, 1.0], [1.0, 9.697473084567736e-132], [1.0, 1.0], [1.0, 4.5635017802126784e-136], [1.0, 1.0]]"
4,"[[0.0, 1.0], [0.0, 1.0], [0.0, 1.0], [0.0, 1.0], [0.0, 1.0], [0.0, 1.0], [0.0, 1.0118297671571028e-49], [0.0, 1.0], [0.0, 1.0], [0.0, 1.0], [1.0, 9.857692632412913e-38], [1.0, 1.082160844146523e-49], [1.0, 6.571595115232803e-43], [1.0, 1.0], [1.0, 1.0], [1.0, 1.0], [1.0, 7.381971098098225e-47], [1.0, 1.0], [1.0, 2.8589590576857594e-50], [1.0, 1.0]]"
3,"[[0.0, 0.9999999999999982], [0.0, 0.9999999999999998], [0.0, 0.9999999999999982], [0.0, 0.9999999999999998], [0.0, 0.9999999999999987], [0.0, 0.9999999999999993], [0.0, 0.9999999999999982], [0.0, 0.9999999999999998], [0.0, 0.9999999999999987], [0.0, 7.62016920079409e-19], [1.0, 0.9999999999999998], [1.0, 0.9999999999999998], [1.0, 0.9999999999999998], [1.0, 0.9999999999999998], [1.0, 0.9999999999999983], [1.0, 0.9999999999999998], [1.0, 0.9999999999999998], [1.0, 0.9999999999999959], [1.0, 0.9999999999999991], [1.0, 0.9999999999999998]]"
4,"[[0.0, 1.0], [0.0, 1.0], [0.0, 1.0], [0.0, 1.0], [0.0, 1.0], [0.0, 1.0], [0.0, 1.0], [0.0, 1.0], [0.0, 1.0], [0.0, 2.0715723898405956e-53], [1.0, 1.0], [1.0, 1.0], [1.0, 1.0], [1.0, 1.0], [1.0, 1.0], [1.0, 1.0], [1.0, 1.0], [1.0, 1.0], [1.0, 1.0], [1.0, 1.0]]"
5,"[[0.0, 1.0], [0.0, 1.0], [0.0, 1.0], [0.0, 1.0], [0.0, 1.0], [0.0, 1.0], [0.0, 1.0], [0.0, 1.0], [0.0, 1.0], [0.0, 2.1637807476766092e-134], [1.0, 1.0], [1.0, 1.0], [1.0, 1.0], [1.0, 1.0], [1.0, 1.0], [1.0, 1.0], [1.0, 1.0], [1.0, 1.0], [1.0, 1.0], [1.0, 1.0]]"
0.1,"[[0.0, 0.9999999999999982], [0.0, 0.9999999999999982], [0.0, 0.9999999999999982], [0.0, 0.9999999999999982], [0.0, 0.9999999999999982], [0.0, 0.9999999999999982], [0.0, 0.9999999999999949], [0.0, 0.9999999999999982], [0.0, 0.9999999999999982], [0.0, 0.9999999999999982], [1.0, 0.9999999999999998], [1.0, 0.9999999999999893], [1.0, 0.9999999999999998], [1.0, 0.9999999999999998], [1.0, 0.9999999999999998], [1.0, 0.9999999999999998], [1.0, 0.9999999999999998], [1.0, 0.9999999999999998], [1.0, 0.9999999999999998], [1.0, 0.9999999999999998]]"
2,"[[0.0, 0.9999999999999081], [0.0, 0.9999999999999709], [0.0, 0.9999999999998821], [0.0, 0.9999999999999876], [0.0, 0.9999999999999946], [0.0, 0.9999999999999414], [0.0, 0.9999999999995814], [0.0, 0.999999999999865], [0.0, 0.9999999999999132], [0.0, 0.9999999999998852], [1.0, 0.9999999999990681], [1.0, 0.9999999665892216], [1.0, 0.9999999999990061], [1.0, 0.999999999999652], [1.0, 0.9999999999997555], [1.0, 0.9999999999998779], [1.0, 0.9999999999991465], [1.0, 0.9999999999999603], [1.0, 0.999999999850827], [1.0, 0.9999999999998854]]"
1,"[[0.0, 0.9999977257531973], [0.0, 0.9999987919283451], [0.0, 0.9999952754959672], [0.0, 0.9999993976047311], [0.0, 0.9999997017233578], [0.0, 0.999998378425989], [0.0, 0.9999923950082745], [0.0, 0.9999957671863708], [0.0, 0.9999979899234864], [0.0, 0.9999972341094917], [1.0, 0.9999999999978875], [1.0, 0.9999999999899151], [1.0, 0.9999999999978207], [1.0, 0.9999999999985941], [1.0, 0.9999999999965516], [1.0, 0.9999999999980197], [1.0, 0.9999999999971287], [1.0, 0.9999999999992794], [1.0, 0.9999999999954033], [1.0, 0.9999999999985565]]"
