0.01,50,10,3,[[0.0, 0.9999979910424914], [0.0, 0.9963561905789129], [0.0, 0.9997944203773291], [0.0, 0.9996458285267895], [0.0, 0.9999996778840448], [1.0, 0.9999999565971811], [1.0, 0.9950344327100139], [1.0, 0.999999372773983], [1.0, 0.9999958043026591], [1.0, 0.9924676765983064]]
0.01,50,10,3,[[0.0, 0.9999979910424914], [0.0, 0.9963561905789129], [0.0, 0.9997944203773291], [0.0, 0.9996458285267895], [0.0, 0.9999996778840448], [1.0, 0.9999999565971811], [1.0, 0.9950344327100139], [1.0, 0.999999372773983], [1.0, 0.9999958043026591], [1.0, 0.9924676765983064]]
0.01,50,10,3,[[0.0, 0.9999979910424914], [0.0, 0.9963561905789129], [0.0, 0.9997944203773291], [0.0, 0.9996458285267895], [0.0, 0.9999996778840448], [1.0, 0.9999999565971811], [1.0, 0.9950344327100139], [1.0, 0.999999372773983], [1.0, 0.9999958043026591], [1.0, 0.9924676765983064]]
0.01,50,10,5,[[0.0, 0.9999999999998688], [0.0, 5.666303358641629e-10], [0.0, 0.43917926801381], [0.0, 0.3946422073750345], [0.0, 0.46554312175943136], [1.0, 1.8765238363802052e-05], [1.0, 0.9900014215003263], [1.0, 0.999237450140729], [1.0, 0.9941212073645235], [1.0, 0.9999999999824523]]
0.01,50,10,1,[[0.0, 0.9915659013029788], [0.0, 0.9906701667480773], [0.0, 0.9932207330596532], [0.0, 0.999764589548747], [0.0, 0.9924919789127773], [1.0, 0.9978318031276343], [1.0, 0.9969279569336251], [1.0, 0.997385738216154], [1.0, 0.9999927303512292], [1.0, 0.9998461970077748]]
0.01,50,10,1,[[0.0, 0.9915659013029788], [0.0, 0.9906701667480773], [0.0, 0.9932207330596532], [0.0, 0.999764589548747], [0.0, 0.9924919789127773], [1.0, 0.9978318031276343], [1.0, 0.9969279569336251], [1.0, 0.997385738216154], [1.0, 0.9999927303512292], [1.0, 0.9998461970077748]]
0.01,50,10,1,[[0.0, 0.9915659013029788], [0.0, 0.9906701667480773], [0.0, 0.9932207330596532], [0.0, 0.999764589548747], [0.0, 0.9924919789127773], [1.0, 0.9978318031276343], [1.0, 0.9969279569336251], [1.0, 0.997385738216154], [1.0, 0.9999927303512292], [1.0, 0.9998461970077748]]
0.01,50,10,2,[[0.0, 0.9999999998246879], [0.0, 0.9999999999999691], [0.0, 0.9999999999697345], [0.0, 0.999999985602184], [0.0, 0.9999737434792122], [1.0, 0.9999999979152833], [1.0, 0.9998775307505615], [1.0, 0.9999254082666688], [1.0, 0.991688248389426], [1.0, 2.21761904235557e-10]]
0.01,50,10,5,[[0.0, 0.4243010017902064], [0.0, 4.049595041094613e-16], [0.0, 0.9999761537003514], [0.0, 0.9999994402310901], [0.0, 4.609208998813328e-98], [1.0, 0.9968354496266485], [1.0, 8.124651094457466e-48], [1.0, 0.9997535237640297], [1.0, 0.990179894720611], [1.0, 2.999025426740761e-20]]
0.01,50,10,5,[[0.0, 0.4243010017902064], [0.0, 4.049595041094613e-16], [0.0, 0.9999761537003514], [0.0, 0.9999994402310901], [0.0, 4.609208998813328e-98], [1.0, 0.9968354496266485], [1.0, 8.124651094457466e-48], [1.0, 0.9997535237640297], [1.0, 0.990179894720611], [1.0, 2.999025426740761e-20]]
0.01,50,10,4,[[0.0, 0.9908513162887239], [0.0, 4.0782606189498533e-19], [0.0, 0.9994809381982168], [0.0, 0.9999902209026126], [0.0, 5.639528464536774e-60], [1.0, 0.9998857405504317], [1.0, 0.9999994992613913], [1.0, 0.9999999999291006], [1.0, 0.9999998828446027], [1.0, 2.591045430138288e-59]]
0.01,50,10,2,[[0.0, 0.99999232550892], [0.0, 0.9996200167019096], [0.0, 0.9999809485964353], [0.0, 0.9998706038802619], [0.0, 0.9975071700028071], [1.0, 0.00118501822641886], [1.0, 0.49588088252128054], [1.0, 0.27991385343058567], [1.0, 0.2296931161537623], [1.0, 0.4890805851393967]]
0.01,50,10,2,[[0.0, 0.9953187333992465], [0.0, 0.49864589681688276], [0.0, 0.3126884918193423], [0.0, 0.3946422073750345], [0.0, 0.46554312175943136], [1.0, 0.28695127017241184], [1.0, 0.4196548490007425], [1.0, 0.20847946363491096], [1.0, 0.499570432311255], [1.0, 0.9999406212099045]]
0.01,50,10,2,[[0.0, 0.9999999998246879], [0.0, 0.9999999999999691], [0.0, 0.9999999999697345], [0.0, 0.999999985602184], [0.0, 0.9999737434792122], [1.0, 0.9999999979152833], [1.0, 0.9998775307505615], [1.0, 0.9999254082666688], [1.0, 0.991688248389426], [1.0, 2.21761904235557e-10]]
0.01,50,10,4,[[0.0, 0.9908513162887239], [0.0, 4.0782606189498533e-19], [0.0, 0.9994809381982168], [0.0, 0.9999902209026126], [0.0, 5.639528464536774e-60], [1.0, 0.9998857405504317], [1.0, 0.9999994992613913], [1.0, 0.9999999999291006], [1.0, 0.9999998828446027], [1.0, 2.591045430138288e-59]]
0.01,50,10,2,[[0.0, 0.23070677188426114], [0.0, 0.4997860737315402], [0.0, 0.9979877407802742], [0.0, 0.9934401152117182], [0.0, 0.15453831802940007], [1.0, 0.18355359194914345], [1.0, 0.24889262402156542], [1.0, 0.3855497890287565], [1.0, 0.4228492702359683], [1.0, 0.07022445885036877]]
0.01,50,10,2,[[0.0, 0.9999999998246879], [0.0, 0.9999999999999691], [0.0, 0.9999999999697345], [0.0, 0.999999985602184], [0.0, 0.9999737434792122], [1.0, 0.9999999979152833], [1.0, 0.9998775307505615], [1.0, 0.9999254082666688], [1.0, 0.991688248389426], [1.0, 2.21761904235557e-10]]
